basin_id,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2030,2/28/2030,3/31/2030,4/30/2030,5/31/2030,6/30/2030,7/31/2030,8/31/2030,9/30/2030,10/31/2030,11/30/2030,12/31/2030,1/31/2035,2/28/2035,3/31/2035,4/30/2035,5/31/2035,6/30/2035,7/31/2035,8/31/2035,9/30/2035,10/31/2035,11/30/2035,12/31/2035,1/31/2040,2/29/2040,3/31/2040,4/30/2040,5/31/2040,6/30/2040,7/31/2040,8/31/2040,9/30/2040,10/31/2040,11/30/2040,12/31/2040,1/31/2045,2/28/2045,3/31/2045,4/30/2045,5/31/2045,6/30/2045,7/31/2045,8/31/2045,9/30/2045,10/31/2045,11/30/2045,12/31/2045,1/31/2050,2/28/2050,3/31/2050,4/30/2050,5/31/2050,6/30/2050,7/31/2050,8/31/2050,9/30/2050,10/31/2050,11/30/2050,12/31/2050,1/31/2055,2/28/2055,3/31/2055,4/30/2055,5/31/2055,6/30/2055,7/31/2055,8/31/2055,9/30/2055,10/31/2055,11/30/2055,12/31/2055,1/31/2060,2/29/2060,3/31/2060,4/30/2060,5/31/2060,6/30/2060,7/31/2060,8/31/2060,9/30/2060,10/31/2060,11/30/2060,12/31/2060,1/31/2065,2/28/2065,3/31/2065,4/30/2065,5/31/2065,6/30/2065,7/31/2065,8/31/2065,9/30/2065,10/31/2065,11/30/2065,12/31/2065,1/31/2070,2/28/2070,3/31/2070,4/30/2070,5/31/2070,6/30/2070,7/31/2070,8/31/2070,9/30/2070,10/31/2070,11/30/2070,12/31/2070,1/31/2075,2/28/2075,3/31/2075,4/30/2075,5/31/2075,6/30/2075,7/31/2075,8/31/2075,9/30/2075,10/31/2075,11/30/2075,12/31/2075,1/31/2080,2/29/2080,3/31/2080,4/30/2080,5/31/2080,6/30/2080,7/31/2080,8/31/2080,9/30/2080,10/31/2080,11/30/2080,12/31/2080,1/31/2085,2/28/2085,3/31/2085,4/30/2085,5/31/2085,6/30/2085,7/31/2085,8/31/2085,9/30/2085,10/31/2085,11/30/2085,12/31/2085,1/31/2090,2/28/2090,3/31/2090,4/30/2090,5/31/2090,6/30/2090,7/31/2090,8/31/2090,9/30/2090,10/31/2090,11/30/2090,12/31/2090,1/31/2095,2/28/2095,3/31/2095,4/30/2095,5/31/2095,6/30/2095,7/31/2095,8/31/2095,9/30/2095,10/31/2095,11/30/2095,12/31/2095,1/31/2100,2/28/2100,3/31/2100,4/30/2100,5/31/2100,6/30/2100,7/31/2100,8/31/2100,9/30/2100,10/31/2100,11/30/2100,12/31/2100
0,4.22E-09,3.09E-09,7.72E-08,3.00E-08,1.06E-08,2.76E-09,3.66E-09,7.84E-09,8.00E-09,4.12E-09,1.46E-09,6.38E-10,1.54E-08,4.22E-08,9.77E-08,1.52E-07,6.11E-08,3.64E-08,1.24E-08,1.43E-08,1.65E-08,2.58E-08,1.58E-08,1.17E-08,1.14E-08,2.69E-08,7.79E-08,1.59E-07,4.30E-08,2.17E-08,7.45E-09,1.28E-08,4.06E-08,2.29E-08,5.26E-09,1.38E-08,1.76E-08,3.54E-08,1.41E-07,1.88E-07,1.07E-07,5.09E-08,1.58E-08,1.46E-08,1.44E-09,3.11E-08,2.15E-08,1.73E-08,2.07E-08,5.94E-08,1.02E-07,1.11E-07,3.81E-08,2.37E-08,1.02E-08,1.21E-08,1.92E-09,4.24E-08,2.49E-08,1.52E-08,1.01E-08,2.43E-08,7.06E-08,1.42E-07,2.76E-08,2.14E-08,8.34E-09,1.15E-08,7.09E-09,1.23E-08,3.24E-09,9.12E-09,4.05E-08,4.07E-08,7.93E-08,2.60E-07,5.45E-08,6.43E-08,1.41E-08,1.15E-08,5.20E-09,1.96E-08,2.77E-08,2.90E-08,2.30E-08,2.05E-08,8.45E-08,9.79E-08,3.24E-08,7.53E-09,4.28E-09,1.46E-08,2.01E-08,5.42E-09,8.76E-09,2.22E-08,5.19E-08,7.11E-08,1.51E-07,1.97E-07,8.07E-08,4.06E-08,1.44E-08,1.11E-08,8.79E-09,1.71E-08,9.35E-09,1.75E-08,3.36E-08,6.05E-08,1.34E-07,1.62E-07,6.67E-08,3.40E-08,1.27E-08,1.14E-08,1.90E-08,5.66E-09,1.44E-08,5.59E-09,1.64E-08,1.56E-08,8.08E-08,2.42E-08,8.92E-09,4.62E-09,3.44E-09,1.70E-08,7.27E-09,2.57E-08,1.83E-08,1.03E-08,1.41E-08,3.35E-08,5.63E-08,1.22E-08,5.61E-09,5.59E-09,4.62E-09,1.04E-08,1.71E-08,4.30E-09,1.85E-09,8.48E-09,2.94E-08,3.62E-08,1.02E-07,1.37E-07,3.16E-08,1.05E-08,6.79E-09,1.05E-08,7.51E-09,5.43E-09,6.98E-09,1.95E-08,2.29E-08,4.91E-08,8.73E-08,5.98E-08,1.91E-08,1.08E-08,5.85E-09,1.43E-08,8.06E-09,4.83E-09,1.75E-08,2.61E-08,2.55E-08,3.65E-08,1.26E-07,1.15E-07,3.70E-08,2.10E-08,7.93E-09,2.85E-08,6.79E-09,8.77E-09,3.96E-09,4.64E-09,2.58E-08,7.74E-08,9.79E-08,2.80E-08,3.24E-08,1.60E-08,5.88E-09,2.66E-08,2.72E-08,1.23E-08,1.38E-08,1.21E-08,1.75E-08,8.58E-08,7.18E-08,4.25E-08,2.40E-08,1.74E-08,4.55E-09,1.01E-08,7.64E-09,4.48E-09,1.69E-09,8.49E-09,2.14E-08,5.28E-08,8.26E-08,5.08E-08,1.86E-08,6.88E-09,6.17E-09,8.84E-09,1.29E-08,4.71E-09,1.91E-08,2.03E-08
1,0.000348505,0.000240583,0.001970909,0.000777534,0.000286693,6.46E-05,8.23E-05,0.00016649,0.00017414,9.06E-05,4.70E-05,2.37E-05,0.000671739,0.000947475,0.0024197,0.002229996,0.000531368,0.000296055,8.83E-05,0.000256845,0.000238424,0.000435265,0.000372194,0.000439827,0.000700974,0.001170435,0.002500226,0.002363062,0.000961264,0.00019438,3.05E-05,0.000284192,0.000599672,0.000355622,7.57E-05,0.000603583,0.000828598,0.000940479,0.003314735,0.002440064,0.000766098,0.000292636,0.000180593,0.000210509,0.000104314,0.000592555,0.000565843,0.00055976,0.000621183,0.001595171,0.002262697,0.001438335,0.000730302,0.000237099,0.000129188,0.000242696,0.000154355,0.000495062,0.000583119,0.000641619,0.000505592,0.000846619,0.001424132,0.002017466,0.000619941,0.000228066,0.000138746,0.000210647,0.000218653,0.00021761,0.000109664,0.000284085,0.001129529,0.001102547,0.00231995,0.002967943,0.001234009,0.000808763,4.93E-05,0.000198324,0.000122897,0.000544974,0.000507696,0.000954737,0.0007557,0.001192747,0.001698044,0.00166736,0.000534105,2.91E-05,2.56E-05,0.000303993,0.000483963,0.000142344,0.000296539,0.000534755,0.000779427,0.001925021,0.003511818,0.002530497,0.001181929,0.000183959,0.000135613,0.000395105,0.000157341,0.000364436,0.000282883,0.000724974,0.000896204,0.001850209,0.003142666,0.001614225,0.001163964,0.000136952,9.70E-05,0.000240537,0.0003588,0.000124487,0.000495251,0.000301062,0.000354266,0.000575839,0.001408714,0.000368399,0.000205548,6.20E-05,0.000135553,0.00030088,0.000155707,0.000457093,0.000397654,0.000361,0.000395802,0.000884814,0.001216214,0.000337258,0.000129017,0.000104266,0.000160618,0.00028911,0.000282862,9.63E-05,4.61E-05,0.00029364,0.00058832,0.001410627,0.00219455,0.002596903,0.000582342,4.17E-05,0.000372141,0.000237651,0.000169134,0.000204637,0.000355001,0.000676434,0.000694943,0.001331628,0.001545334,0.000971288,0.000447019,3.59E-05,7.76E-05,0.000378873,0.000194659,0.000182046,0.000518746,0.000724476,0.000653665,0.001205114,0.002521912,0.00188082,0.000659656,2.38E-06,4.93E-05,0.00044472,0.000181813,0.000175775,0.00011875,0.00020106,0.000384573,0.00146412,0.001559924,0.000372671,0.000445306,0.000143518,0.000107707,0.000324614,0.000362799,0.000323798,0.000262529,0.000369926,0.000505285,0.00199145,0.001462523,0.000857782,0.000836786,0.000117333,0.000169146,0.000216211,0.000190858,0.000113082,5.74E-05,0.000393585,0.000577183,0.001138955,0.001907154,0.001014555,0.000372165,1.11E-05,0.000164917,0.000211254,0.000238361,0.000141991,0.000538187,0.000589273
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000123877,9.92E-05,8.25E-05,7.01E-05,7.89E-05,0.000102291,0.000100399,0.000259677,0.000348522,0.000144227,9.40E-05,0.000142009,0.000137034,0.000110016,0.000126084,0.000267402,0.000301345,0.000699423,0.000629464,0.000422199,0.000288373,0.000206609,0.000293292,0.000189279,0.000137207,0.000110558,0.000123233,0.000411795,0.000344566,0.000825119,0.000783787,0.000487731,0.000313616,0.000418833,0.00030795,0.000193043,0.000142665,0.000112986,0.000147762,0.000268433,0.000337192,0.000701942,0.00063715,0.000536127,0.000312019,0.000440409,0.000305258,0.000197327,0.000137951,0.000110379,0.000126045,0.000247144,0.000295132,0.000641486,0.000509994,0.000404035,0.00026463,0.000182112,0.000207959,0.00018172,0.000136374,0.000109187,0.000119207,0.000398791,0.000455459,0.000740805,0.000811469,0.000300984,0.000287886,0.000434091,0.000294429,0.000194377,0.000154483,0.000165047,0.000134866,0.000340385,0.000543347,0.00072887,0.000673422,0.000445245,0.000239938,0.00038813,0.00030064,0.000198123,0.000143806,0.000113059,0.000306016,0.00037259,0.000346968,0.000911498,0.000667863,0.000342851,0.000315856,0.000450005,0.000317685,0.000204097,0.000162746,0.000125084,0.00016433,0.000288889,0.000348958,0.000791504,0.000646696,0.000505666,0.000428608,0.000438533,0.00027024,0.000229674,0.000142329,0.000112396,0.000137205,0.000367505,0.000381186,0.000700902,0.000722135,0.00046234,0.000249615,0.000368209,0.000243759,0.00020745,0.000125727,0.000100497,8.36E-05,0.000318713,0.000306277,0.000512823,0.000447492,0.00036525,0.000174855,0.000246445,0.000218501,0.000177823,0.000157137,0.000121441,0.000161158,0.000292254,0.000442102,0.000652936,0.000538616,0.000569703,0.000275607,0.000233476,0.000248629,0.000224245,0.000138279,0.000109151,0.00014129,0.000217686,0.000339443,0.000550601,0.000498067,0.000344326,0.000196215,0.000289022,0.000195709,0.00018162,0.00014621,0.000113386,0.000183733,0.000174192,0.000360414,0.000607456,0.000426835,0.000351942,0.000231088,0.000307121,0.000200037,0.000196991,0.000147784,0.000117644,0.000246693,0.000343981,0.000273728,0.000536257,0.000355662,0.000357456,0.000370544,0.000221244,0.000229067,0.000228136,0.000138285,0.000109713,9.08E-05,0.000210753,0.000357181,0.000490013,0.000391399,0.000296852,0.000382162,0.000352002,0.000224731,0.000197694,0.000180671,0.000135513,0.000280107,0.000516767,0.000621982,0.000676607,0.000523436,0.00043888,0.000362584,0.000418679,0.000273353,0.000274406,0.000152558,0.000118376,0.000116895,0.000183242,0.000342191,0.000605275,0.000318325,0.000393054,0.000376004,0.000194131,0.000221995,0.000226901
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.064717935,0.04889857,0.063137729,0.057969993,0.045818482,0.087410637,0.069431126,0.256439042,0.226889682,0.075756405,0.057181536,0.049245206,0.071741623,0.115275776,0.059307543,0.0849075,0.06934112,0.086319058,0.163843293,0.29514459,0.104121407,0.083010805,0.07091084,0.069580342,0.113827401,0.16540721,0.149593389,0.102445447,0.076611646,0.088388647,0.199839865,0.432526359,0.134817928,0.101782111,0.070398972,0.079909106,0.06900792,0.102795551,0.113866658,0.066761058,0.059897209,0.069954776,0.183876104,0.305395362,0.080638602,0.068835064,0.066290218,0.067023668,0.079403068,0.120598666,0.113067604,0.084646536,0.054713586,0.114847319,0.219195873,0.246291317,0.109210663,0.089194208,0.07502745,0.063692999,0.083192267,0.06128887,0.083044695,0.08072592,0.071101541,0.114131254,0.184451844,0.161196453,0.083575821,0.076976015,0.060101902,0.058175043,0.101153996,0.062796614,0.061901731,0.0747337,0.066151588,0.093190054,0.123167379,0.248819414,0.112935443,0.08786253,0.07262803,0.077022996,0.102647942,0.09925244,0.097109432,0.075173622,0.065474609,0.060203784,0.178255427,0.265866067,0.095545207,0.090016963,0.077254435,0.076247227,0.10342542,0.108824305,0.094517891,0.114429964,0.063957316,0.143657291,0.259893557,0.397998877,0.149457848,0.100783495,0.088487507,0.076660893,0.082539015,0.134942335,0.133652678,0.094377986,0.059487688,0.094683031,0.224862095,0.275019544,0.10622567,0.084152063,0.075611126,0.06495086,0.08171196,0.086158523,0.07495786,0.066647508,0.067513617,0.110228814,0.230275929,0.279726663,0.060911095,0.057681701,0.057403112,0.058114758,0.087335113,0.140916452,0.116189477,0.067208019,0.060693957,0.095624462,0.155411,0.381773374,0.130714471,0.113240854,0.076011298,0.073050402,0.079850545,0.061809648,0.063031392,0.121564488,0.067826211,0.085492721,0.20088106,0.209724566,0.09070135,0.06432904,0.063843958,0.080457197,0.089750583,0.072231088,0.090207766,0.079302935,0.063770176,0.097254053,0.215298698,0.316296422,0.07075572,0.067141601,0.055105398,0.057008193,0.074561623,0.085440563,0.06386561,0.086535598,0.057394719,0.084769314,0.087151554,0.242744753,0.170280995,0.089223594,0.0767988,0.064487616,0.063580996,0.087975055,0.082398293,0.057679701,0.060388025,0.071957307,0.17126201,0.205475128,0.089837608,0.05829482,0.060276164,0.060354552,0.074417851,0.06663134,0.14071043,0.073167416,0.089227582,0.097394279,0.20671175,0.319323076,0.097762737,0.085065747,0.073226687,0.069272387,0.058987979,0.093615406,0.101322155,0.057336376,0.061370689,0.098467659,0.162283888,0.190407714,0.099514304,0.080205433,0.068391805,0.068681226
7,0.022465633,0.018294724,0.023103079,0.027565295,0.014601304,0.023501578,0.017860734,0.020239601,0.022005492,0.01409209,0.01846057,0.020076256,0.0430017,0.035822044,0.059203354,0.053725415,0.026915143,0.032141874,0.028270832,0.038781842,0.036633088,0.032817363,0.02873976,0.030842277,0.045430265,0.044538309,0.06850508,0.062273653,0.030118172,0.036893542,0.030133772,0.05000527,0.04623438,0.031762041,0.030612773,0.03565032,0.040291117,0.036090429,0.061997269,0.053653398,0.043485821,0.027921293,0.028238297,0.038886678,0.029465228,0.025048432,0.026042999,0.030168547,0.040431633,0.037603788,0.042027885,0.037212623,0.028993107,0.030778167,0.031423406,0.037987163,0.02472907,0.031137079,0.029010381,0.028310469,0.048731281,0.037461541,0.035820328,0.076456905,0.035961311,0.024089397,0.032552947,0.036770161,0.042521885,0.029853655,0.026811315,0.035029139,0.028663839,0.038233488,0.049556533,0.063565218,0.033064709,0.045222915,0.032057834,0.04260479,0.031120369,0.031642097,0.027865322,0.04064205,0.026058286,0.029354864,0.04283131,0.032816566,0.022599314,0.027358599,0.023727029,0.041850914,0.038956697,0.023261935,0.030817795,0.043767556,0.034181129,0.041958888,0.091672168,0.040847824,0.053942133,0.048968007,0.04875749,0.043940466,0.035838251,0.037579378,0.035650788,0.033276259,0.054683521,0.084864695,0.106119332,0.046597366,0.039107017,0.032549439,0.03163444,0.035129406,0.064072132,0.026468519,0.045877509,0.040775814,0.036795165,0.024937541,0.038113577,0.020793783,0.019890916,0.035072488,0.038005533,0.047047154,0.029309445,0.025618679,0.025453634,0.033568649,0.030783975,0.04134021,0.04805039,0.023367755,0.029202623,0.032338031,0.030008326,0.034632107,0.022701926,0.026995116,0.029524465,0.039335386,0.058803278,0.050176565,0.075662284,0.10096441,0.035156546,0.040232577,0.03146749,0.033098921,0.039039163,0.041544929,0.040724515,0.0566981,0.028710871,0.023385397,0.053790099,0.036352825,0.041465182,0.039575243,0.036216844,0.042694787,0.031042739,0.024277021,0.025682975,0.027008057,0.041336855,0.028959998,0.058047994,0.05416363,0.036966203,0.029191647,0.020647862,0.039134601,0.022188723,0.028284515,0.031226271,0.03148095,0.036372049,0.039452869,0.031773588,0.033180485,0.019302701,0.032900554,0.026883804,0.028513055,0.034428413,0.024962239,0.025420341,0.027097859,0.025249822,0.053699399,0.058634124,0.036646239,0.031765806,0.039328789,0.034683172,0.039670123,0.033588535,0.029246238,0.029385851,0.028558814,0.039388052,0.047710408,0.044734594,0.034758525,0.02592014,0.031739426,0.034237988,0.020263724,0.035177503,0.026295451,0.024382139,0.03438945
8,0.019693722,0.007975333,0.032202796,0.035380127,0.009745916,0.026801366,0.033728963,0.136699486,0.115768373,0.020675316,0.00990269,0.008615298,0.04808196,0.04187097,0.04747794,0.069464922,0.050279553,0.052358505,0.111196546,0.192967861,0.054845442,0.040574497,0.019174093,0.028415244,0.073519272,0.06105917,0.053171266,0.086495844,0.059475505,0.071367348,0.127285872,0.29051994,0.076310145,0.031628763,0.016889322,0.045038967,0.047965321,0.039881324,0.046841545,0.057510785,0.041110267,0.041348882,0.124412621,0.197653664,0.036846482,0.03655231,0.016100269,0.026761635,0.046953782,0.048531131,0.084534074,0.047612127,0.033801348,0.066209303,0.148351452,0.168843215,0.075665067,0.045519598,0.022780052,0.017902024,0.055167405,0.046892606,0.049380346,0.043974366,0.059867909,0.078779711,0.144373317,0.129774738,0.052359488,0.037479035,0.027890385,0.034631886,0.072701523,0.048155035,0.045688194,0.068744936,0.059178607,0.063772701,0.089298687,0.184359442,0.052315807,0.046976295,0.019387395,0.042951484,0.07738565,0.070122399,0.069548117,0.050757221,0.042888045,0.063685525,0.10716614,0.177925007,0.050827445,0.041781756,0.022847681,0.041568516,0.096461382,0.09296387,0.088217466,0.063699924,0.047095946,0.098328682,0.195111693,0.245170306,0.056189417,0.051211937,0.024852118,0.036607283,0.064045474,0.122934405,0.108500775,0.057497302,0.042390426,0.061348308,0.13937291,0.164895157,0.078540733,0.031852351,0.033568953,0.022533316,0.044428011,0.057952933,0.054377826,0.04229651,0.044546165,0.072258311,0.154954115,0.195870619,0.076670544,0.017579199,0.012743864,0.026558781,0.075919044,0.050170688,0.08870274,0.039562454,0.040665146,0.057009496,0.098996013,0.207449207,0.075172313,0.051632441,0.015098803,0.043190477,0.062130143,0.056040703,0.062280432,0.062456787,0.040776038,0.053256569,0.127888504,0.137011185,0.049637767,0.033091766,0.016532562,0.056841297,0.036237441,0.043260222,0.042277486,0.04805569,0.05001225,0.062901764,0.141587282,0.190019177,0.073689549,0.016526469,0.010173286,0.018739038,0.047111779,0.062263471,0.054400799,0.072646651,0.032419285,0.046059413,0.055559929,0.171281745,0.087152236,0.040054037,0.02181809,0.022415551,0.022154572,0.03607663,0.05478691,0.047843119,0.039437921,0.038325011,0.116108308,0.134063883,0.048790995,0.03286729,0.012655557,0.01690246,0.062245625,0.062878007,0.056060812,0.059478876,0.060063984,0.060698721,0.137355448,0.206496735,0.049041937,0.032433742,0.023498863,0.027679676,0.034623221,0.04187165,0.034993201,0.043225203,0.032000426,0.060123353,0.12409169,0.090204598,0.051512024,0.03366033,0.019010608,0.030027936
9,0.136573175,0.124237615,0.126806554,0.11907856,0.131038687,0.173859581,0.15777396,0.446802711,0.381347084,0.180053177,0.144076534,0.13588834,0.157457782,0.176666655,0.199095778,0.160353139,0.146289557,0.220394405,0.275686697,0.372690326,0.174385259,0.208448874,0.151793565,0.147081941,0.182177518,0.211022948,0.19354363,0.182266256,0.149595011,0.225987219,0.306063752,0.490342384,0.190218822,0.173777864,0.151852189,0.155527544,0.147148333,0.171397885,0.187091147,0.141646868,0.142820637,0.193816582,0.322382916,0.419438051,0.149035149,0.162749969,0.145526581,0.14185505,0.151659273,0.166976165,0.174298736,0.140378957,0.130312053,0.136112255,0.338231159,0.288400573,0.138374378,0.163773411,0.145302389,0.137919417,0.169426634,0.196453976,0.169790465,0.184393971,0.206265558,0.122706211,0.265832536,0.194072027,0.165126183,0.095044602,0.166056527,0.158362404,0.173794958,0.191857366,0.19570997,0.160756337,0.177609596,0.090426606,0.198958035,0.334944138,0.095528826,0.171002586,0.146449912,0.150490388,0.176778766,0.175649822,0.18487253,0.167183493,0.148268585,0.155346359,0.317600031,0.322741053,0.191309158,0.219839497,0.159316408,0.153749239,0.181117706,0.182741778,0.260471431,0.167717248,0.149425204,0.132708677,0.358084989,0.451394846,0.303668561,0.205981612,0.160512504,0.149316749,0.157874664,0.152001103,0.146340262,0.150603051,0.139306158,0.205324972,0.366537704,0.365933423,0.157856507,0.184930879,0.153889028,0.142958138,0.144282069,0.16386334,0.146217698,0.137493537,0.15596126,0.102011788,0.329478416,0.308998849,0.097261947,0.131870696,0.141068147,0.138247997,0.158996174,0.202096843,0.190018525,0.134377168,0.148509828,0.209459442,0.279896502,0.507792268,0.204473206,0.232012354,0.161832063,0.153205968,0.154605937,0.176471457,0.181533239,0.205279807,0.149542294,0.09719033,0.310454931,0.292845457,0.146307636,0.151404144,0.141674361,0.152353351,0.158069674,0.152618318,0.169636977,0.143864834,0.144182793,0.110099341,0.32980289,0.358645686,0.134548753,0.142642542,0.137175955,0.138337049,0.159342895,0.153619541,0.198438859,0.170159536,0.141599587,0.198378279,0.163373064,0.318719175,0.288226535,0.101309049,0.153289133,0.145237319,0.137812664,0.163202226,0.169486084,0.159017996,0.138274056,0.181995711,0.289525419,0.256748939,0.200445737,0.161646711,0.145425881,0.143801379,0.152385237,0.191269068,0.200924419,0.159326946,0.199129794,0.239003588,0.332129903,0.374502003,0.200544131,0.174454039,0.158272575,0.14901852,0.148044725,0.160254551,0.170457926,0.153735581,0.14340806,0.112663035,0.208777595,0.284424701,0.200045825,0.096158254,0.153363894,0.148719386
