basin_id,12/31/2015,12/31/2020,12/31/2025,12/31/2030,12/31/2035,12/31/2040,12/31/2045,12/31/2050,12/31/2055,12/31/2060,12/31/2065,12/31/2070,12/31/2075,12/31/2080,12/31/2085,12/31/2090,12/31/2095,12/31/2100
0,2.93E-08,1.60E-07,2.10E-09,2.75E-09,3.91E-09,4.97E-09,6.06E-09,6.41E-09,6.63E-09,6.81E-09,6.96E-09,6.85E-09,5.83E-09,5.68E-09,6.37E-09,6.58E-09,6.81E-09,5.76E-09
1,0.000979273,0.002973358,8.97E-05,8.85E-05,0.000110897,0.000120926,9.48E-05,8.70E-05,7.83E-05,7.61E-05,8.47E-05,9.86E-05,0.000103504,9.88E-05,0.000115364,0.000124288,0.000124653,0.000140035
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000161114,0.001229789,0.000175088,0.00017858,0.000180012,0.000180775,0.000187981,0.000188468,0.000179403,0.000174419,0.00016327,0.00015994,0.000161856,0.000167234,0.00016988,0.000168816,0.000165759,0.000157919
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.101508469,0.370197567,0.08869186,0.090107363,0.091425142,0.094928316,0.093430793,0.091548724,0.089663683,0.087450683,0.087505731,0.086815523,0.088602597,0.093037744,0.094584279,0.09306209,0.092142503,0.091090775
7,0.04919228,0.137423822,0.043689461,0.045752867,0.046407757,0.049928827,0.049887801,0.050280942,0.048968312,0.047449871,0.047177485,0.046250442,0.04627552,0.046154176,0.045859921,0.045517189,0.045636227,0.046255692
8,0.039010863,0.237508358,0.023275167,0.02442464,0.026555364,0.030290856,0.027187955,0.025973471,0.023121035,0.020504596,0.021931568,0.021981887,0.024089345,0.026230045,0.027115056,0.025547362,0.023881572,0.02346918
9,0.295860256,0.633110524,0.287798628,0.290541978,0.292592341,0.293684564,0.296402232,0.295986804,0.295662045,0.292154447,0.290642466,0.290114,0.28825897,0.289609447,0.29115552,0.291347052,0.293243925,0.290217575
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.65E-05,0.000148979,1.44E-05,1.40E-05,1.45E-05,1.51E-05,1.58E-05,1.71E-05,1.70E-05,1.52E-05,1.45E-05,1.44E-05,1.45E-05,1.54E-05,1.61E-05,1.62E-05,1.63E-05,1.58E-05
14,0.008545206,0.078977401,0.007334679,0.007099691,0.007255076,0.007472247,0.007576939,0.008112111,0.008208283,0.007125436,0.006856908,0.006577785,0.006937989,0.007566384,0.007989236,0.00784626,0.007727174,0.007735896
15,0.05102214,0.269768045,0.032435772,0.031909678,0.03339121,0.034901845,0.031399252,0.033318134,0.032392636,0.030506292,0.032518744,0.030172423,0.030192188,0.031492147,0.032712203,0.035363962,0.03660433,0.035612729
16,0.005469577,0.134506571,0.000382423,0.00188624,0.004576432,0.00738337,0.00452534,0.003092449,0.000635316,-0.0019226,0.00299225,0.004906241,0.005304775,0.00593919,0.005951286,0.004794579,0.002244924,0.001627316
17,0.008545206,0.078977402,0.007334679,0.007099691,0.007255076,0.007472247,0.007576939,0.008112112,0.008208283,0.007125436,0.006856908,0.006577786,0.006937989,0.007566384,0.007989236,0.00784626,0.007727174,0.007735896
18,0.008545206,0.078977401,0.007334679,0.007099691,0.007255076,0.007472247,0.007576939,0.008112111,0.008208283,0.007125436,0.006856908,0.006577785,0.006937989,0.007566384,0.007989236,0.00784626,0.007727174,0.007735896
19,0.023695016,0.278305254,0.004478567,0.004804579,0.009148586,0.010445045,0.00781215,0.008621455,0.007330085,0.004696306,0.007769105,0.004901257,0.003323677,0.003336914,0.00323243,0.008019897,0.009912286,0.010975274
20,-0.002939376,0.093913383,-0.002893624,-0.006425227,-0.004969171,-0.004998176,-0.005092488,-0.003514893,-0.004519323,-0.007308508,-0.007769097,-0.007593735,-0.007469033,-0.00742,-0.008325599,-0.005425003,-0.008231228,-0.008688834
21,0.058341329,0.149267996,0.047295151,0.043824444,0.042974401,0.041221716,0.03737416,0.037494692,0.041022252,0.041554704,0.042129817,0.041377324,0.040606545,0.037957432,0.038047338,0.040858737,0.043340266,0.045553148
