basin_id,12/31/2015,12/31/2020,12/31/2025,12/31/2030,12/31/2035,12/31/2040,12/31/2045,12/31/2050,12/31/2055,12/31/2060,12/31/2065,12/31/2070,12/31/2075,12/31/2080,12/31/2085,12/31/2090,12/31/2095,12/31/2100
0,2.86E-07,1.60E-07,2.00E-08,2.26E-08,2.77E-08,3.73E-08,4.52E-08,4.66E-08,4.40E-08,3.12E-08,3.26E-08,3.52E-08,3.41E-08,3.59E-08,3.53E-08,3.16E-08,3.30E-08,3.08E-08
1,0.005885769,0.002973358,0.000510876,0.000536419,0.000637499,0.000847964,0.000898876,0.000856649,0.000810863,0.000697579,0.000742146,0.000801077,0.000742639,0.000698669,0.000691358,0.000674467,0.000682336,0.000641103
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000554853,0.001229789,0.000680637,0.000710872,0.000734245,0.000709625,0.000760018,0.000750139,0.00069877,0.000681956,0.000657424,0.000591134,0.000600613,0.000633692,0.000648098,0.000650327,0.000625747,0.000544101
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.181623693,0.370197567,0.173765676,0.187298239,0.193407642,0.198199498,0.217779697,0.214095015,0.191422899,0.17709928,0.165715944,0.161647692,0.158170508,0.178486694,0.186911471,0.183900516,0.187257736,0.177195021
7,0.10908104,0.137423822,0.090403144,0.101859891,0.10744927,0.114547952,0.118766433,0.116404569,0.112101843,0.103276769,0.101245043,0.100473829,0.097824828,0.101785391,0.098856689,0.094777362,0.094473524,0.093277264
8,0.117795304,0.237508358,0.098848134,0.129838505,0.137365238,0.15306609,0.165626298,0.169548327,0.152614037,0.129230915,0.122504766,0.112547591,0.100541333,0.116830677,0.118411882,0.114553045,0.127286545,0.123426749
9,0.332789195,0.633110524,0.362065579,0.375038706,0.378981187,0.390384883,0.409011725,0.413315785,0.399969581,0.384045514,0.370014573,0.360542294,0.359747218,0.382408969,0.390776574,0.388233825,0.392652488,0.377215902
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8.15E-05,0.000148979,4.70E-05,4.90E-05,5.53E-05,6.08E-05,6.73E-05,6.62E-05,6.43E-05,6.02E-05,5.44E-05,5.29E-05,5.05E-05,5.08E-05,5.14E-05,5.28E-05,5.53E-05,5.57E-05
14,0.042694228,0.078977401,0.019713767,0.021016304,0.022702951,0.02537063,0.026292253,0.027181169,0.02744978,0.024355448,0.023404531,0.023006522,0.020704207,0.021158816,0.020977234,0.020837701,0.022469592,0.022084768
