basin_id,12/31/2015,12/31/2020,12/31/2025,12/31/2030,12/31/2035,12/31/2040,12/31/2045,12/31/2050,12/31/2055,12/31/2060,12/31/2065,12/31/2070,12/31/2075,12/31/2080,12/31/2085,12/31/2090,12/31/2095,12/31/2100
0,9.49E-08,1.60E-07,8.31E-09,9.99E-09,1.22E-08,1.42E-08,1.62E-08,1.68E-08,1.73E-08,1.48E-08,1.58E-08,1.64E-08,1.50E-08,1.51E-08,1.56E-08,1.53E-08,1.56E-08,1.51E-08
1,0.002829098,0.002973358,0.000223041,0.000243531,0.000283241,0.000326438,0.000314554,0.000299702,0.000282579,0.00025856,0.000246736,0.000247866,0.000243964,0.000249951,0.000269473,0.000290441,0.000298518,0.000302413
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000198375,0.001229789,0.000282738,0.000294282,0.000311843,0.000315225,0.000331299,0.000339083,0.000328165,0.000313537,0.000286804,0.000265421,0.000263644,0.000276246,0.000283929,0.000290652,0.000281084,0.000261528
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.123522588,0.370197567,0.114101218,0.119342464,0.127472981,0.13814951,0.141786491,0.139374984,0.12889984,0.115043838,0.111052853,0.108839857,0.108900075,0.116918797,0.122196881,0.116869921,0.116786586,0.1148574
7,0.067856328,0.137423822,0.062043044,0.067746559,0.072087624,0.077130735,0.078708428,0.075186996,0.072613571,0.068287054,0.065229554,0.064173896,0.063195885,0.064015987,0.063985988,0.062095297,0.059487793,0.059168758
8,0.066525333,0.237508358,0.047245379,0.059402989,0.065645378,0.080941287,0.085885244,0.075803213,0.070921165,0.057270378,0.055537873,0.056194032,0.05410464,0.062485399,0.063240211,0.059303144,0.059586187,0.056778998
9,0.30720564,0.633110524,0.30786526,0.316759841,0.322338827,0.331421348,0.343143333,0.341497938,0.331918596,0.323331998,0.317681751,0.313650035,0.311032738,0.316588241,0.319966411,0.31888309,0.322503338,0.319455365
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3.95E-05,0.000148979,2.66E-05,2.58E-05,2.74E-05,2.98E-05,3.14E-05,3.30E-05,3.57E-05,3.30E-05,3.26E-05,3.21E-05,2.86E-05,2.79E-05,2.75E-05,2.79E-05,2.92E-05,2.90E-05
14,0.018703064,0.078977401,0.011645388,0.011516964,0.012270032,0.013946096,0.014226538,0.014537427,0.016033287,0.014387104,0.013844669,0.013920142,0.012793631,0.01275487,0.012883415,0.012650335,0.013412977,0.012981934
15,0.08048425,0.269768045,0.063143515,0.067803483,0.072729184,0.077042519,0.079501134,0.076878438,0.069446367,0.059965019,0.058249398,0.059142714,0.060479173,0.06674265,0.070549963,0.070131859,0.070064048,0.069595914
16,0.030347431,0.134506571,0.026445547,0.028762129,0.032617362,0.042204449,0.047188078,0.04595989,0.039068084,0.031478798,0.031184611,0.029654821,0.027846752,0.030643863,0.028499443,0.027786408,0.028401567,0.027783162
17,0.018703063,0.078977402,0.011645387,0.011516964,0.012270033,0.013946096,0.014226538,0.014537427,0.016033287,0.014387104,0.013844669,0.013920142,0.012793631,0.01275487,0.012883416,0.012650335,0.013412978,0.012981934
18,0.018703063,0.078977401,0.011645387,0.011516964,0.012270033,0.013946096,0.014226538,0.014537427,0.016033286,0.014387104,0.013844669,0.013920142,0.012793631,0.012754869,0.012883415,0.012650335,0.013412977,0.012981933
19,0.049590212,0.278305254,0.04189334,0.044448627,0.048505271,0.054468948,0.057769166,0.054651679,0.047695084,0.040338086,0.039005677,0.039321048,0.039487922,0.04425996,0.045149175,0.045429628,0.048624883,0.04832493
20,0.009418989,0.093913383,0.012752285,0.011914099,0.012898885,0.014257306,0.015385344,0.01530824,0.015111844,0.013256906,0.012198049,0.013725042,0.013553204,0.01300712,0.012009578,0.01237236,0.013821387,0.015810036
21,0.078518011,0.149267996,0.067522374,0.065344832,0.064301856,0.064755084,0.064118353,0.065999637,0.06777076,0.067793751,0.068180555,0.067162978,0.066466434,0.064027994,0.063431086,0.064687512,0.06712882,0.072102576
22,0.010339432,0.032737818,0.010728336,0.010512642,0.010644979,0.010614168,0.009987582,0.009948494,0.00959237,0.009259867,0.009302836,0.009217758,0.009354303,0.009914349,0.010653534,0.010679969,0.010883437,0.011290413
23,0.017788047,0.054830949,0.019937338,0.019346671,0.018372971,0.017820763,0.017315724,0.017568624,0.018251597,0.018566456,0.019552559,0.019641265,0.01838441,0.017538534,0.016947893,0.017308475,0.017740866,0.019594208
24,0.004981403,0.020999896,0.007398284,0.007440846,0.00745294,0.00735323,0.006861571,0.006301565,0.006037622,0.005973885,0.005905516,0.0060058,0.00637733,0.006244453,0.006302634,0.006410649,0.006381583,0.006578591
25,0.012181058,0.034567712,0.006196841,0.007134323,0.007994545,0.010910954,0.011325388,0.010402211,0.008737577,0.005965191,0.005677989,0.00557649,0.006593698,0.00782569,0.007305989,0.007310591,0.00779491,0.007799022
26,0.012230289,0.025292773,0.002166452,0.002885542,0.00393964,0.0068795,0.006046608,0.005909477,0.004007092,0.002284186,0.002358003,0.002014563,0.001792377,0.001600288,0.001240279,0.001344679,0.001294014,0.00119571
27,0.002585524,0.006971068,0.001182569,0.001465728,0.001711901,0.002434256,0.00251601,0.002393098,0.002147281,0.001647989,0.001618319,0.001593552,0.001574836,0.001755617,0.001831964,0.001703419,0.001752965,0.001687323
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.003682369,0.015549536,0.002292812,0.002267528,0.002415796,0.00274579,0.002801005,0.002862214,0.003156728,0.002832618,0.00272582,0.002740679,0.002518885,0.002511254,0.002536563,0.002490672,0.002640826,0.002555959
