basin_id,12/31/2015,12/31/2020,12/31/2025,12/31/2030,12/31/2035,12/31/2040,12/31/2045,12/31/2050,12/31/2055,12/31/2060,12/31/2065,12/31/2070,12/31/2075,12/31/2080,12/31/2085,12/31/2090,12/31/2095,12/31/2100
0,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07,1.60E-07
1,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358,0.002973358
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789,0.001229789
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567,0.370197567
7,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822,0.137423822
8,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358,0.237508358
9,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524,0.633110524
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979,0.000148979
14,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401,0.078977401
15,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045,0.269768045
16,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571,0.134506571
