basin_id,12/31/2015,12/31/2020,12/31/2025,12/31/2030,12/31/2035,12/31/2040,12/31/2045,12/31/2050,12/31/2055,12/31/2060,12/31/2065,12/31/2070,12/31/2075,12/31/2080,12/31/2085,12/31/2090,12/31/2095,12/31/2100
0,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08
1,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551,0.000725551
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668,0.000278668
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354,0.079928354
7,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018,0.038251018
8,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451,0.049173451
9,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554,0.152125554
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05,4.12E-05
14,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121
15,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841,0.047427841
16,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825,0.029347825
17,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121
18,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121,0.022222121
19,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419,0.046986419
20,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477,0.02183477
21,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444,0.037887444
22,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653,0.008142653
23,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316,0.012761316
24,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989,0.005192989
25,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475,0.007635475
26,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958,0.004961958
