node,units,month,value
21|PAKISTAN,MCM/day,1,27.3
15|PAKISTAN,MCM/day,1,18.6
16|PAKISTAN,MCM/day,1,9.3
9|INDIA_EAST,MCM/day,1,5.3
9|INDIA_EAST,MCM/day,1,5.3
21|PAKISTAN,MCM/day,2,35.0
15|PAKISTAN,MCM/day,2,27.7
16|PAKISTAN,MCM/day,2,17.0
9|INDIA_EAST,MCM/day,2,7.7
9|INDIA_EAST,MCM/day,2,7.6
21|PAKISTAN,MCM/day,3,80.4
15|PAKISTAN,MCM/day,3,40.7
16|PAKISTAN,MCM/day,3,27.0
9|INDIA_EAST,MCM/day,3,14.3
9|INDIA_EAST,MCM/day,3,14.1
21|PAKISTAN,MCM/day,4,91.7
15|PAKISTAN,MCM/day,4,50.9
16|PAKISTAN,MCM/day,4,32.0
9|INDIA_EAST,MCM/day,4,16.9
9|INDIA_EAST,MCM/day,4,16.6
21|PAKISTAN,MCM/day,5,82.7
15|PAKISTAN,MCM/day,5,21.7
16|PAKISTAN,MCM/day,5,14.7
9|INDIA_EAST,MCM/day,5,11.5
9|INDIA_EAST,MCM/day,5,11.4
21|PAKISTAN,MCM/day,6,54.2
15|PAKISTAN,MCM/day,6,53.8
16|PAKISTAN,MCM/day,6,35.8
9|INDIA_EAST,MCM/day,6,13.9
9|INDIA_EAST,MCM/day,6,13.7
21|PAKISTAN,MCM/day,7,97.0
15|PAKISTAN,MCM/day,7,74.7
16|PAKISTAN,MCM/day,7,48.6
9|INDIA_EAST,MCM/day,7,21.3
9|INDIA_EAST,MCM/day,7,21.0
21|PAKISTAN,MCM/day,8,70.5
15|PAKISTAN,MCM/day,8,43.3
16|PAKISTAN,MCM/day,8,27.7
9|INDIA_EAST,MCM/day,8,13.7
9|INDIA_EAST,MCM/day,8,13.5
21|PAKISTAN,MCM/day,9,101.4
15|PAKISTAN,MCM/day,9,67.2
16|PAKISTAN,MCM/day,9,30.9
9|INDIA_EAST,MCM/day,9,19.3
9|INDIA_EAST,MCM/day,9,19.0
21|PAKISTAN,MCM/day,10,45.5
15|PAKISTAN,MCM/day,10,35.6
16|PAKISTAN,MCM/day,10,13.1
9|INDIA_EAST,MCM/day,10,9.1
9|INDIA_EAST,MCM/day,10,9.0
21|PAKISTAN,MCM/day,11,28.5
15|PAKISTAN,MCM/day,11,17.2
16|PAKISTAN,MCM/day,11,6.1
9|INDIA_EAST,MCM/day,11,5.0
9|INDIA_EAST,MCM/day,11,4.9
21|PAKISTAN,MCM/day,12,27.6
15|PAKISTAN,MCM/day,12,18.8
16|PAKISTAN,MCM/day,12,5.8
9|INDIA_EAST,MCM/day,12,5.0
9|INDIA_EAST,MCM/day,12,5.0
