crop,node,year,time,value
wheat,1|AFGHAN_SOUTH,2010,1,10.8312751759277
wheat,1|AFGHAN_SOUTH,2010,2,15.2830038474456
wheat,1|AFGHAN_SOUTH,2010,3,25.8636933624141
wheat,1|AFGHAN_SOUTH,2010,4,23.2870039264848
wheat,1|AFGHAN_SOUTH,2010,5,16.0771647072415
wheat,1|AFGHAN_SOUTH,2010,11,4.07884496848149
wheat,1|AFGHAN_SOUTH,2010,12,5.07912723651399
wheat,1|AFGHAN_SOUTH,2020,1,10.8312751759277
wheat,1|AFGHAN_SOUTH,2020,2,15.2830038474456
wheat,1|AFGHAN_SOUTH,2020,3,25.8636933624141
wheat,1|AFGHAN_SOUTH,2020,4,23.2870039264848
wheat,1|AFGHAN_SOUTH,2020,5,16.0771647072415
wheat,1|AFGHAN_SOUTH,2020,11,4.07884496848149
wheat,1|AFGHAN_SOUTH,2020,12,5.07912723651399
wheat,1|AFGHAN_SOUTH,2030,1,10.8312751759277
wheat,1|AFGHAN_SOUTH,2030,2,15.2830038474456
wheat,1|AFGHAN_SOUTH,2030,3,25.8636933624141
wheat,1|AFGHAN_SOUTH,2030,4,23.2870039264848
wheat,1|AFGHAN_SOUTH,2030,5,16.0771647072415
wheat,1|AFGHAN_SOUTH,2030,11,4.07884496848149
wheat,1|AFGHAN_SOUTH,2030,12,5.07912723651399
wheat,1|AFGHAN_SOUTH,2040,1,10.8312751759277
wheat,1|AFGHAN_SOUTH,2040,2,15.2830038474456
wheat,1|AFGHAN_SOUTH,2040,3,25.8636933624141
wheat,1|AFGHAN_SOUTH,2040,4,23.2870039264848
wheat,1|AFGHAN_SOUTH,2040,5,16.0771647072415
wheat,1|AFGHAN_SOUTH,2040,11,4.07884496848149
wheat,1|AFGHAN_SOUTH,2040,12,5.07912723651399
wheat,1|AFGHAN_SOUTH,2050,1,10.8312751759277
wheat,1|AFGHAN_SOUTH,2050,2,15.2830038474456
wheat,1|AFGHAN_SOUTH,2050,3,25.8636933624141
wheat,1|AFGHAN_SOUTH,2050,4,23.2870039264848
wheat,1|AFGHAN_SOUTH,2050,5,16.0771647072415
wheat,1|AFGHAN_SOUTH,2050,11,4.07884496848149
wheat,1|AFGHAN_SOUTH,2050,12,5.07912723651399
wheat,1|AFGHAN_SOUTH,2060,1,10.8312751759277
wheat,1|AFGHAN_SOUTH,2060,2,15.2830038474456
wheat,1|AFGHAN_SOUTH,2060,3,25.8636933624141
wheat,1|AFGHAN_SOUTH,2060,4,23.2870039264848
wheat,1|AFGHAN_SOUTH,2060,5,16.0771647072415
wheat,1|AFGHAN_SOUTH,2060,11,4.07884496848149
wheat,1|AFGHAN_SOUTH,2060,12,5.07912723651399
wheat,2|AFGHAN_NORTH,2010,1,3.37867987480752
wheat,2|AFGHAN_NORTH,2010,2,4.2211953632505
wheat,2|AFGHAN_NORTH,2010,3,9.97006177154409
wheat,2|AFGHAN_NORTH,2010,4,9.96534274122279
