node,crop,irrigation,value,unit
1|AFGHAN_SOUTH,cotton,irrigated,172.928,kgCO2eq/ha
1|AFGHAN_SOUTH,fodder,irrigated,89.99429714021032,kgCO2eq/ha
1|AFGHAN_SOUTH,fruit,irrigated,878.5700000000002,kgCO2eq/ha
1|AFGHAN_SOUTH,maize,irrigated,104.69303020548121,kgCO2eq/ha
1|AFGHAN_SOUTH,pulses,irrigated,89.99429714021032,kgCO2eq/ha
1|AFGHAN_SOUTH,rice,irrigated,163.98108895195895,kgCO2eq/ha
1|AFGHAN_SOUTH,sugarcane,irrigated,241.97275521582128,kgCO2eq/ha
1|AFGHAN_SOUTH,vegetables,irrigated,159.74,kgCO2eq/ha
1|AFGHAN_SOUTH,wheat,irrigated,173.31069509644962,kgCO2eq/ha
1|AFGHAN_SOUTH,wheat,rainfed,110.97954677158425,kgCO2eq/ha
2|AFGHAN_NORTH,fodder,irrigated,100.95599999999999,kgCO2eq/ha
2|AFGHAN_NORTH,fruit,irrigated,878.57,kgCO2eq/ha
2|AFGHAN_NORTH,maize,irrigated,158.007,kgCO2eq/ha
2|AFGHAN_NORTH,pulses,irrigated,100.95599999999999,kgCO2eq/ha
2|AFGHAN_NORTH,rice,irrigated,197.88899999999998,kgCO2eq/ha
2|AFGHAN_NORTH,sugarcane,irrigated,237.73999999999998,kgCO2eq/ha
2|AFGHAN_NORTH,vegetables,irrigated,159.74,kgCO2eq/ha
2|AFGHAN_NORTH,wheat,irrigated,176.9675,kgCO2eq/ha
2|AFGHAN_NORTH,wheat,rainfed,88.3615,kgCO2eq/ha
3|CHINA,cotton,irrigated,122.80054056267574,kgCO2eq/ha
3|CHINA,cotton,rainfed,61.23300000000001,kgCO2eq/ha
3|CHINA,fodder,irrigated,75.29190326509136,kgCO2eq/ha
3|CHINA,fodder,rainfed,29.9155,kgCO2eq/ha
3|CHINA,fruit,irrigated,878.57,kgCO2eq/ha
3|CHINA,maize,irrigated,100.842,kgCO2eq/ha
3|CHINA,pulses,irrigated,62.543869737928,kgCO2eq/ha
3|CHINA,pulses,rainfed,15.2776,kgCO2eq/ha
3|CHINA,rice,irrigated,121.53984461669094,kgCO2eq/ha
3|CHINA,rice,rainfed,49.74520000000001,kgCO2eq/ha
3|CHINA,sugarcane,irrigated,242.2785,kgCO2eq/ha
3|CHINA,vegetables,irrigated,159.74000000000004,kgCO2eq/ha
3|CHINA,vegetables,rainfed,55.655499999999996,kgCO2eq/ha
3|CHINA,wheat,irrigated,123.43601337840158,kgCO2eq/ha
3|CHINA,wheat,rainfed,83.59251870427187,kgCO2eq/ha
4|CHINA,cotton,irrigated,97.5404,kgCO2eq/ha
4|CHINA,cotton,rainfed,61.233000000000004,kgCO2eq/ha
4|CHINA,fodder,irrigated,68.2821,kgCO2eq/ha
4|CHINA,fodder,rainfed,29.9155,kgCO2eq/ha
4|CHINA,fruit,irrigated,878.5699999999999,kgCO2eq/ha
4|CHINA,pulses,irrigated,49.110099999999996,kgCO2eq/ha
4|CHINA,pulses,rainfed,15.2776,kgCO2eq/ha
4|CHINA,rice,irrigated,99.507,kgCO2eq/ha
4|CHINA,rice,rainfed,49.745200000000004,kgCO2eq/ha
4|CHINA,vegetables,irrigated,159.74,kgCO2eq/ha
4|CHINA,vegetables,rainfed,55.6555,kgCO2eq/ha
4|CHINA,wheat,irrigated,93.1911,kgCO2eq/ha
4|CHINA,wheat,rainfed,48.4916,kgCO2eq/ha
5|CHINA,cotton,irrigated,97.5404,kgCO2eq/ha
