"crop","par","node","time","unit","value"
"cotton","irrigation_yield","AFG_1","year","kton DW/ Mha",205.825276135174
"fodder","irrigation_yield","AFG_1","year","kton DW/ Mha",3076.57247769454
"fruit","irrigation_yield","AFG_1","year","kton DW/ Mha",2156.62341775617
"maize","irrigation_yield","AFG_1","year","kton DW/ Mha",1669.78637116699
"pulses","irrigation_yield","AFG_1","year","kton DW/ Mha",523.160069018555
"rice","irrigation_yield","AFG_1","year","kton DW/ Mha",1208.90908278809
"sugarcane","irrigation_yield","AFG_1","year","kton DW/ Mha",2056.97753237587
"vegetables","irrigation_yield","AFG_1","year","kton DW/ Mha",1784.64566052246
"wheat","irrigation_yield","AFG_1","year","kton DW/ Mha",1446.02675327122
"cotton","irrigation_yield","AFG_2","year","kton DW/ Mha",203.777316443106
"fodder","irrigation_yield","AFG_2","year","kton DW/ Mha",2772.21102634922
"fruit","irrigation_yield","AFG_2","year","kton DW/ Mha",2100.23201044519
"maize","irrigation_yield","AFG_2","year","kton DW/ Mha",1514.77676608887
"pulses","irrigation_yield","AFG_2","year","kton DW/ Mha",489.375813427734
"rice","irrigation_yield","AFG_2","year","kton DW/ Mha",1187.52820334473
"sugarcane","irrigation_yield","AFG_2","year","kton DW/ Mha",2937.91617823648
"vegetables","irrigation_yield","AFG_2","year","kton DW/ Mha",1506.38491889648
"wheat","irrigation_yield","AFG_2","year","kton DW/ Mha",1240.26001111327
"pulses","irrigation_yield","CHN_1","year","kton DW/ Mha",562.524202883323
"wheat","irrigation_yield","CHN_1","year","kton DW/ Mha",718.61165025837
"cotton","irrigation_yield","IND_1","year","kton DW/ Mha",215.367678623654
"fodder","irrigation_yield","IND_1","year","kton DW/ Mha",1746.13328879735
"fruit","irrigation_yield","IND_1","year","kton DW/ Mha",2083.81794521714
"maize","irrigation_yield","IND_1","year","kton DW/ Mha",3539.54238239429
"pulses","irrigation_yield","IND_1","year","kton DW/ Mha",1214.71591896922
"rice","irrigation_yield","IND_1","year","kton DW/ Mha",2666.88014668697
"sugarcane","irrigation_yield","IND_1","year","kton DW/ Mha",2482.70456841277
"vegetables","irrigation_yield","IND_1","year","kton DW/ Mha",3787.43431287819
"wheat","irrigation_yield","IND_1","year","kton DW/ Mha",2725.3369420329
"cotton","irrigation_yield","IND_2","year","kton DW/ Mha",303.343931262697
"fodder","irrigation_yield","IND_2","year","kton DW/ Mha",761.629726757813
"fruit","irrigation_yield","IND_2","year","kton DW/ Mha",2095.3767511898
"maize","irrigation_yield","IND_2","year","kton DW/ Mha",3081.53026134142
"pulses","irrigation_yield","IND_2","year","kton DW/ Mha",494.419190625
"rice","irrigation_yield","IND_2","year","kton DW/ Mha",2879.55384091719
"sugarcane","irrigation_yield","IND_2","year","kton DW/ Mha",3404.13103196456
"vegetables","irrigation_yield","IND_2","year","kton DW/ Mha",1538.90483291016
"wheat","irrigation_yield","IND_2","year","kton DW/ Mha",1563.26421056724
"cotton","irrigation_yield","IND_3","year","kton DW/ Mha",513.70150670059
"fodder","irrigation_yield","IND_3","year","kton DW/ Mha",848.071044140625
"fruit","irrigation_yield","IND_3","year","kton DW/ Mha",1907.54135276098
"maize","irrigation_yield","IND_3","year","kton DW/ Mha",4345.14898065828
"pulses","irrigation_yield","IND_3","year","kton DW/ Mha",473.785162426758
"rice","irrigation_yield","IND_3","year","kton DW/ Mha",1144.44889519043
"sugarcane","irrigation_yield","IND_3","year","kton DW/ Mha",8174.23165226559
"vegetables","irrigation_yield","IND_3","year","kton DW/ Mha",1378.47008671875
"wheat","irrigation_yield","IND_3","year","kton DW/ Mha",1380.07762264121
"cotton","irrigation_yield","IND_4","year","kton DW/ Mha",1002.21015837974
"fodder","irrigation_yield","IND_4","year","kton DW/ Mha",1013.45323710937
"fruit","irrigation_yield","IND_4","year","kton DW/ Mha",1957.25511325592
"maize","irrigation_yield","IND_4","year","kton DW/ Mha",4002.55262346775
"pulses","irrigation_yield","IND_4","year","kton DW/ Mha",428.69323762207
"rice","irrigation_yield","IND_4","year","kton DW/ Mha",3350.83837718996
"sugarcane","irrigation_yield","IND_4","year","kton DW/ Mha",12364.6621869653
"vegetables","irrigation_yield","IND_4","year","kton DW/ Mha",2679.37786769039
"wheat","irrigation_yield","IND_4","year","kton DW/ Mha",3409.31580408453
