"scenario","model","node","time","tec","value"
"historical","ensemble","AFG_1","1","irrigation_sw_diversion",1.29949991034061
"historical","ensemble","AFG_1","10","irrigation_sw_diversion",0.930618800081268
"historical","ensemble","AFG_1","11","irrigation_sw_diversion",0.785297322174091
"historical","ensemble","AFG_1","12","irrigation_sw_diversion",0.70018565281425
"historical","ensemble","AFG_1","2","irrigation_sw_diversion",1.86819141746683
"historical","ensemble","AFG_1","3","irrigation_sw_diversion",2.92780373050813
"historical","ensemble","AFG_1","4","irrigation_sw_diversion",2.96970680762435
"historical","ensemble","AFG_1","5","irrigation_sw_diversion",2.48794681134398
"historical","ensemble","AFG_1","6","irrigation_sw_diversion",1.9520937437574
"historical","ensemble","AFG_1","7","irrigation_sw_diversion",2.40036745346389
"historical","ensemble","AFG_1","8","irrigation_sw_diversion",2.55372054706896
"historical","ensemble","AFG_1","9","irrigation_sw_diversion",1.88804442014991
"historical","ensemble","AFG_2","1","irrigation_sw_diversion",2.97965644459636
"historical","ensemble","AFG_2","10","irrigation_sw_diversion",3.99608912187006
"historical","ensemble","AFG_2","11","irrigation_sw_diversion",2.44168233252696
"historical","ensemble","AFG_2","12","irrigation_sw_diversion",1.9558834986228
"historical","ensemble","AFG_2","2","irrigation_sw_diversion",3.85482350440044
"historical","ensemble","AFG_2","3","irrigation_sw_diversion",8.18700987446909
"historical","ensemble","AFG_2","4","irrigation_sw_diversion",9.62014239179004
"historical","ensemble","AFG_2","5","irrigation_sw_diversion",10.3919099592129
"historical","ensemble","AFG_2","6","irrigation_sw_diversion",10.469344097755
"historical","ensemble","AFG_2","7","irrigation_sw_diversion",13.6931575077829
"historical","ensemble","AFG_2","8","irrigation_sw_diversion",13.9316175621051
"historical","ensemble","AFG_2","9","irrigation_sw_diversion",9.48619591698242
"historical","ensemble","CHN_1","11","irrigation_sw_diversion",0
"historical","ensemble","CHN_1","12","irrigation_sw_diversion",0
"historical","ensemble","CHN_1","3","irrigation_sw_diversion",0
"historical","ensemble","CHN_1","4","irrigation_sw_diversion",0
"historical","ensemble","CHN_1","5","irrigation_sw_diversion",0
"historical","ensemble","IND_1","1","irrigation_sw_diversion",0
"historical","ensemble","IND_1","10","irrigation_sw_diversion",0
"historical","ensemble","IND_1","11","irrigation_sw_diversion",0
"historical","ensemble","IND_1","12","irrigation_sw_diversion",0
"historical","ensemble","IND_1","2","irrigation_sw_diversion",0
"historical","ensemble","IND_1","3","irrigation_sw_diversion",0
"historical","ensemble","IND_1","4","irrigation_sw_diversion",0
"historical","ensemble","IND_1","5","irrigation_sw_diversion",0
"historical","ensemble","IND_1","6","irrigation_sw_diversion",0
"historical","ensemble","IND_1","7","irrigation_sw_diversion",0
"historical","ensemble","IND_1","8","irrigation_sw_diversion",0
"historical","ensemble","IND_1","9","irrigation_sw_diversion",0
"historical","ensemble","IND_2","1","irrigation_sw_diversion",0.0309307996068925
"historical","ensemble","IND_2","10","irrigation_sw_diversion",0.0910715326521899
"historical","ensemble","IND_2","11","irrigation_sw_diversion",0.0474302027697542
"historical","ensemble","IND_2","12","irrigation_sw_diversion",0.0253248348859186
"historical","ensemble","IND_2","2","irrigation_sw_diversion",0.056405298573115
"historical","ensemble","IND_2","3","irrigation_sw_diversion",0.128672984372478
"historical","ensemble","IND_2","4","irrigation_sw_diversion",0.160478365058538
"historical","ensemble","IND_2","5","irrigation_sw_diversion",0.126344894165833
"historical","ensemble","IND_2","6","irrigation_sw_diversion",0.0559987096915401
"historical","ensemble","IND_2","7","irrigation_sw_diversion",0.0163938272164726
"historical","ensemble","IND_2","8","irrigation_sw_diversion",0.0457505943966823
"historical","ensemble","IND_2","9","irrigation_sw_diversion",0.141194135138679
"historical","ensemble","IND_3","1","irrigation_sw_diversion",2.18921335999916
"historical","ensemble","IND_3","10","irrigation_sw_diversion",2.56774679676026
"historical","ensemble","IND_3","11","irrigation_sw_diversion",1.79980803842339
"historical","ensemble","IND_3","12","irrigation_sw_diversion",1.37489136342792
"historical","ensemble","IND_3","2","irrigation_sw_diversion",4.26518427209612
"historical","ensemble","IND_3","3","irrigation_sw_diversion",7.196548952761
