crop,irrigation,region,fertilizer,unit,value,min,max,source
wheat,irrigated,PAK|Punjab,N,kg/ha,117.5,75,160,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Punjab,P2O5,kg/ha,85,60,110,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Punjab,K2O,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|Punjab,N,kg/ha,80,60,100,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|Punjab,P2O5,kg/ha,75,75,75,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|Punjab,K2O,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Sind,N,kg/ha,150,130,170,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Sind,P2O5,kg/ha,75,60,90,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Sind,K2O,kg/ha,50,50,50,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|NWFP,N,kg/ha,135,120,150,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|NWFP,P2O5,kg/ha,75,60,90,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|NWFP,K2O,kg/ha,50,50,50,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|NWFP,N,kg/ha,80,60,100,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|NWFP,P2O5,kg/ha,45,30,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|NWFP,K2O,kg/ha,0,0,0,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Baluchistan,N,kg/ha,105,90,120,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Baluchistan,P2O5,kg/ha,75,60,90,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,irrigated,PAK|Baluchistan,K2O,kg/ha,50,50,50,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|Baluchistan,N,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|Baluchistan,P2O5,kg/ha,30,30,30,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
wheat,rainfed,PAK|Baluchistan,K2O,kg/ha,0,0,0,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Punjab,N,kg/ha,117.5,75,160,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Punjab,P2O5,kg/ha,67,67,67,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Punjab,K2O,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Sind,N,kg/ha,157,134,180,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Sind,P2O5,kg/ha,83.5,67,100,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Sind,K2O,kg/ha,50,50,50,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Baluchistan,N,kg/ha,120,120,120,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Baluchistan,P2O5,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|Baluchistan,K2O,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|NWFP,N,kg/ha,135,120,150,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|NWFP,P2O5,kg/ha,90,90,90,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
rice,irrigated,PAK|NWFP,K2O,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
cotton,irrigated,PAK|Punjab,N,kg/ha,145,120,170,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
cotton,irrigated,PAK|Punjab,P2O5,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
cotton,irrigated,PAK|Punjab,K2O,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
cotton,irrigated,PAK|Sind,N,kg/ha,115,90,140,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
cotton,irrigated,PAK|Sind,P2O5,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
cotton,irrigated,PAK|Sind,K2O,kg/ha,50,50,50,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Punjab,N,kg/ha,195,120,270,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Punjab,P2O5,kg/ha,85,60,110,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Punjab,K2O,kg/ha,90,60,120,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Sind,N,kg/ha,250,200,300,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Sind,P2O5,kg/ha,112.5,100,125,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
