NAME,BASIN,REGION,BASIN_ID,area,area_km2,BCU_name
Afghan South - IRB,Afghan South,AFGHAN_SOUTH,1,1.7690172320060498,18426.835033256226,1|AFGHAN_SOUTH
Afghan North - IRB,Afghan North,AFGHAN_NORTH,2,5.277084499893473,53733.505222172884,2|AFGHAN_NORTH
China - IRB,China,CHINA,3,3.144981435689988,33278.864256979155,3|CHINA
China - IRB,China,CHINA,4,3.544330388094752,36517.3541079196,4|CHINA
China - IRB,China,CHINA,5,2.47774389050604,26029.354791965747,5|CHINA
India West - IRB,India West,INDIA_WEST,6,1.3440240763872762,14077.397996818845,6|INDIA_WEST
India West - IRB,India West,INDIA_WEST,7,1.7589852167509001,18049.040777598726,7|INDIA_WEST
India West - IRB,India West,INDIA_WEST,8,2.7952208629610165,29009.286026175687,8|INDIA_WEST
India East - IRB,India East,INDIA_EAST,9,5.994234092211612,63280.728267599734,9|INDIA_EAST
India West - IRB,India West,INDIA_WEST,10,2.0381687806351487,20816.393545654886,10|INDIA_WEST
India West - IRB,India West,INDIA_WEST,11,3.9224290634112755,40475.10457525003,11|INDIA_WEST
Pakistan - IRB,Pakistan,PAKISTAN,12,2.3032608970331925,24335.88698824826,12|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,13,3.0773110436777142,31868.902975934812,13|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,14,1.5735961842148112,16506.048894742882,14|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,15,2.6634928439453764,28266.783560795684,15|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,16,3.02096213225812,32370.978619144502,16|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,17,1.531554880579329,17110.344661473082,17|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,18,3.0461880493319895,33083.81052811144,18|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,19,9.015558521224468,97930.01306156584,19|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,20,10.225547919029133,107338.78121731617,20|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,21,3.8584747195708213,39044.150475231574,21|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,22,6.880013134722712,69242.18546571574,22|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,23,0.9171316150680464,9277.309838775063,23|PAKISTAN
Pakistan - IRB,Pakistan,PAKISTAN,24,0.6328293203935405,6434.031457191473,24|PAKISTAN
