FID,Shape *,FID_basins,NAME,BASIN,REGION,BASIN_ID,area,area_km2,BCU_name
1,Polygon,1,Afghan South - IRB,Afghan South,AFGHAN_SOUTH,1,1.7690172320060498,18426.835033256226,1|AFGHAN_SOUTH
2,Polygon,2,Afghan North - IRB,Afghan North,AFGHAN_NORTH,2,5.277084499893473,53733.505222172884,2|AFGHAN_NORTH
3,Polygon,3,Indus - IRB,Indus,INDUS,3,1.0122232667985128e-05,0.1082194633968995,3|INDUS
4,Polygon,4,China - IRB,China,CHINA,4,3.144981435689988,33278.864256979155,4|CHINA
5,Polygon,5,China - IRB,China,CHINA,5,3.544330388094752,36517.3541079196,5|CHINA
6,Polygon,6,China - IRB,China,CHINA,6,2.47774389050604,26029.354791965747,6|CHINA
7,Polygon,7,India West - IRB,India West,INDIA_WEST,7,1.3440240763872762,14077.397996818845,7|INDIA_WEST
8,Polygon,8,India West - IRB,India West,INDIA_WEST,8,1.7589852167509001,18049.040777598726,8|INDIA_WEST
9,Polygon,9,India West - IRB,India West,INDIA_WEST,9,2.7952208629610165,29009.286026175687,9|INDIA_WEST
10,Polygon,10,India East - IRB,India East,INDIA_EAST,10,5.994234092211612,63280.728267599734,10|INDIA_EAST
11,Polygon,11,China - IRB,China,CHINA,11,5.241336228734699e-05,0.5471030463710945,11|CHINA
12,Polygon,12,China - IRB,China,CHINA,12,0.000992381994806789,10.352473244707811,12|CHINA
13,Polygon,13,India West - IRB,India West,INDIA_WEST,13,2.0381687806351487,20816.393545654886,13|INDIA_WEST
14,Polygon,14,India West - IRB,India West,INDIA_WEST,14,3.9224290634112755,40475.10457525003,14|INDIA_WEST
15,Polygon,15,Pakistan - IRB,Pakistan,PAKISTAN,15,2.0178612722517708e-08,0.0002059134606792682,15|PAKISTAN
16,Polygon,16,Pakistan - IRB,Pakistan,PAKISTAN,16,2.3032608970331925,24335.88698824826,16|PAKISTAN
17,Polygon,17,Pakistan - IRB,Pakistan,PAKISTAN,17,3.0773110436777142,31868.902975934812,17|PAKISTAN
18,Polygon,18,India West - IRB,India West,INDIA_WEST,18,3.259960618550109e-07,0.0033244983562222895,18|INDIA_WEST
19,Polygon,19,India West - IRB,India West,INDIA_WEST,19,0.0008582278735877744,8.75012413743103,19|INDIA_WEST
20,Polygon,20,Pakistan - IRB,Pakistan,PAKISTAN,20,1.5735961842148112,16506.048894742882,20|PAKISTAN
21,Polygon,21,Pakistan - IRB,Pakistan,PAKISTAN,21,2.6634928439453764,28266.783560795684,21|PAKISTAN
22,Polygon,22,Pakistan - IRB,Pakistan,PAKISTAN,22,3.02096213225812,32370.978619144502,22|PAKISTAN
23,Polygon,23,Pakistan - IRB,Pakistan,PAKISTAN,23,1.531554880579329,17110.344661473082,23|PAKISTAN
24,Polygon,24,Pakistan - IRB,Pakistan,PAKISTAN,24,3.0461880493319895,33083.81052811144,24|PAKISTAN
25,Polygon,25,Pakistan - IRB,Pakistan,PAKISTAN,25,9.015558521224468,97930.01306156584,25|PAKISTAN
26,Polygon,26,Pakistan - IRB,Pakistan,PAKISTAN,26,10.225547919029133,107338.78121731617,26|PAKISTAN
27,Polygon,27,Pakistan - IRB,Pakistan,PAKISTAN,27,3.8584747195708213,39044.150475231574,27|PAKISTAN
28,Polygon,28,Pakistan - IRB,Pakistan,PAKISTAN,28,6.880013134722712,69242.18546571574,28|PAKISTAN
29,Polygon,29,Pakistan - IRB,Pakistan,PAKISTAN,29,0.9171316150680464,9277.309838775063,29|PAKISTAN
30,Polygon,30,Pakistan - IRB,Pakistan,PAKISTAN,30,0.6328293203935405,6434.031457191473,30|PAKISTAN
