node,year,variable,value,time
10|INDIA_WEST,2010,rural_connection_rate_baseline,0.853,year
13|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
14|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
16|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
17|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
1|AFGHAN_SOUTH,2010,rural_connection_rate_baseline,0.853,year
20|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
21|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
22|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
23|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
24|PAKISTAN,2010,rural_connection_rate_baseline,0.853,year
2|AFGHAN_NORTH,2010,rural_connection_rate_baseline,0.853,year
4|CHINA,2010,rural_connection_rate_baseline,0.916,year
5|CHINA,2010,rural_connection_rate_baseline,0.916,year
6|INDIA_WEST,2010,rural_connection_rate_baseline,0.853,year
7|INDIA_WEST,2010,rural_connection_rate_baseline,0.853,year
8|INDIA_WEST,2010,rural_connection_rate_baseline,0.853,year
9|INDIA_EAST,2010,rural_connection_rate_baseline,0.853,year
10|INDIA_WEST,2020,rural_connection_rate_baseline,0.894,year
13|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
14|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
16|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
17|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
1|AFGHAN_SOUTH,2020,rural_connection_rate_baseline,0.894,year
20|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
21|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
22|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
23|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
24|PAKISTAN,2020,rural_connection_rate_baseline,0.894,year
2|AFGHAN_NORTH,2020,rural_connection_rate_baseline,0.894,year
4|CHINA,2020,rural_connection_rate_baseline,0.9645,year
5|CHINA,2020,rural_connection_rate_baseline,0.9645,year
6|INDIA_WEST,2020,rural_connection_rate_baseline,0.894,year
7|INDIA_WEST,2020,rural_connection_rate_baseline,0.894,year
8|INDIA_WEST,2020,rural_connection_rate_baseline,0.894,year
9|INDIA_EAST,2020,rural_connection_rate_baseline,0.894,year
10|INDIA_WEST,2030,rural_connection_rate_baseline,0.895,year
13|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
14|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
16|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
17|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
1|AFGHAN_SOUTH,2030,rural_connection_rate_baseline,0.895,year
20|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
21|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
22|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
23|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
24|PAKISTAN,2030,rural_connection_rate_baseline,0.895,year
2|AFGHAN_NORTH,2030,rural_connection_rate_baseline,0.895,year
4|CHINA,2030,rural_connection_rate_baseline,0.9765,year
5|CHINA,2030,rural_connection_rate_baseline,0.9765,year
6|INDIA_WEST,2030,rural_connection_rate_baseline,0.895,year
7|INDIA_WEST,2030,rural_connection_rate_baseline,0.895,year
8|INDIA_WEST,2030,rural_connection_rate_baseline,0.895,year
9|INDIA_EAST,2030,rural_connection_rate_baseline,0.895,year
10|INDIA_WEST,2040,rural_connection_rate_baseline,0.931,year
13|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
14|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
16|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
17|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
1|AFGHAN_SOUTH,2040,rural_connection_rate_baseline,0.931,year
20|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
21|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
22|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
23|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
24|PAKISTAN,2040,rural_connection_rate_baseline,0.931,year
2|AFGHAN_NORTH,2040,rural_connection_rate_baseline,0.931,year
4|CHINA,2040,rural_connection_rate_baseline,0.985,year
5|CHINA,2040,rural_connection_rate_baseline,0.985,year
6|INDIA_WEST,2040,rural_connection_rate_baseline,0.931,year
7|INDIA_WEST,2040,rural_connection_rate_baseline,0.931,year
8|INDIA_WEST,2040,rural_connection_rate_baseline,0.931,year
9|INDIA_EAST,2040,rural_connection_rate_baseline,0.931,year
10|INDIA_WEST,2050,rural_connection_rate_baseline,0.963,year
13|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
14|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
16|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
17|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
1|AFGHAN_SOUTH,2050,rural_connection_rate_baseline,0.963,year
20|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
21|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
22|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
23|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
24|PAKISTAN,2050,rural_connection_rate_baseline,0.963,year
2|AFGHAN_NORTH,2050,rural_connection_rate_baseline,0.963,year
4|CHINA,2050,rural_connection_rate_baseline,0.9905,year
5|CHINA,2050,rural_connection_rate_baseline,0.9905,year
6|INDIA_WEST,2050,rural_connection_rate_baseline,0.963,year
7|INDIA_WEST,2050,rural_connection_rate_baseline,0.963,year
8|INDIA_WEST,2050,rural_connection_rate_baseline,0.963,year
9|INDIA_EAST,2050,rural_connection_rate_baseline,0.963,year
10|INDIA_WEST,2060,rural_connection_rate_baseline,0.978,year
13|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
14|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
16|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
17|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
1|AFGHAN_SOUTH,2060,rural_connection_rate_baseline,0.978,year
20|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
21|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
22|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
23|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
24|PAKISTAN,2060,rural_connection_rate_baseline,0.978,year
2|AFGHAN_NORTH,2060,rural_connection_rate_baseline,0.978,year
4|CHINA,2060,rural_connection_rate_baseline,0.9945,year
5|CHINA,2060,rural_connection_rate_baseline,0.9945,year
6|INDIA_WEST,2060,rural_connection_rate_baseline,0.978,year
7|INDIA_WEST,2060,rural_connection_rate_baseline,0.978,year
8|INDIA_WEST,2060,rural_connection_rate_baseline,0.978,year
9|INDIA_EAST,2060,rural_connection_rate_baseline,0.978,year
10|INDIA_WEST,2070,rural_connection_rate_baseline,0.9855,year
13|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
14|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
16|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
17|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
1|AFGHAN_SOUTH,2070,rural_connection_rate_baseline,0.9855,year
20|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
21|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
22|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
23|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
24|PAKISTAN,2070,rural_connection_rate_baseline,0.9855,year
2|AFGHAN_NORTH,2070,rural_connection_rate_baseline,0.9855,year
4|CHINA,2070,rural_connection_rate_baseline,0.9965,year
5|CHINA,2070,rural_connection_rate_baseline,0.9965,year
6|INDIA_WEST,2070,rural_connection_rate_baseline,0.9855,year
7|INDIA_WEST,2070,rural_connection_rate_baseline,0.9855,year
8|INDIA_WEST,2070,rural_connection_rate_baseline,0.9855,year
9|INDIA_EAST,2070,rural_connection_rate_baseline,0.9855,year
10|INDIA_WEST,2010,rural_treatment_rate_baseline,0.4605,year
13|PAKISTAN,2010,rural_treatment_rate_baseline,0.4605,year
14|PAKISTAN,2010,rural_treatment_rate_baseline,0.4605,year
16|PAKISTAN,2010,rural_treatment_rate_baseline,0.4605,year
17|PAKISTAN,2010,rural_treatment_rate_baseline,0.4605,year
1|AFGHAN_SOUTH,2010,rural_treatment_rate_baseline,0.4605,year
