from_basin,to_basin,link_type,name,distance_km,existing_capacity,capacity_unit,bidirectional,source
1|AFGHAN_SOUTH,23|PAKISTAN,river,real DOWN routing: AFG_1->PAK_12,140.7,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
2|AFGHAN_NORTH,18|PAKISTAN,river,real DOWN routing: AFG_2->PAK_7,210.8,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
3|CHINA,9|INDIA_EAST,river,real DOWN routing: CHN_1->IND_4,341.0,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
4|CHINA,10|INDIA_WEST,river,real DOWN routing: CHN_2->IND_5,188.6,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
5|CHINA,11|INDIA_WEST,river,real DOWN routing: CHN_3->IND_6,355.7,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
6|INDIA_WEST,12|PAKISTAN,river,real DOWN routing: IND_1->PAK_1,158.7,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
7|INDIA_WEST,13|PAKISTAN,river,real DOWN routing: IND_2->PAK_2,250.3,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
8|INDIA_WEST,20|PAKISTAN,river,real DOWN routing: IND_3->PAK_9,201.2,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
9|INDIA_EAST,21|PAKISTAN,river,real DOWN routing: IND_4->PAK_10,405.2,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
10|INDIA_WEST,24|PAKISTAN,river,real DOWN routing: IND_5->PAK_13,141.9,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
11|INDIA_WEST,22|PAKISTAN,river,real DOWN routing: IND_6->PAK_11,208.2,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
12|PAKISTAN,14|PAKISTAN,river,real DOWN routing: PAK_1->PAK_3,292.6,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
21|PAKISTAN,16|PAKISTAN,river,real DOWN routing: PAK_10->PAK_5,344.6,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
22|PAKISTAN,19|PAKISTAN,river,real DOWN routing: PAK_11->PAK_8,173.4,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
23|PAKISTAN,16|PAKISTAN,river,real DOWN routing: PAK_12->PAK_5,380.0,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
24|PAKISTAN,19|PAKISTAN,river,real DOWN routing: PAK_13->PAK_8,240.9,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
13|PAKISTAN,14|PAKISTAN,river,real DOWN routing: PAK_2->PAK_3,207.3,,MCM/year,false,"Indus_bcu.dbf DOWN field, via inferred PID crosswalk"
