"node","tec","year_all","value","units"
"AFG_1","AFG_1|AFG_2",2015,0,"MW"
"AFG_1","AFG_1|PAK_12",2015,0,"MW"
"AFG_2","AFG_2|PAK_12",2015,0,"MW"
"AFG_2","AFG_2|PAK_7",2015,0,"MW"
"CHN_1","CHN_1|CHN_3",2015,0,"MW"
"CHN_1","CHN_1|IND_4",2015,0,"MW"
"CHN_1","CHN_1|IND_6",2015,0,"MW"
"CHN_2","CHN_2|CHN_3",2015,0,"MW"
"CHN_2","CHN_2|IND_5",2015,0,"MW"
"CHN_2","CHN_2|IND_6",2015,0,"MW"
"CHN_3","CHN_3|IND_6",2015,0,"MW"
"IND_1","IND_1|IND_6",2015,0,"MW"
"IND_1","IND_1|PAK_1",2015,0,"MW"
"IND_1","IND_1|PAK_11",2015,0,"MW"
"IND_1","IND_1|PAK_2",2015,0,"MW"
"IND_2","IND_2|IND_4",2015,0,"MW"
"IND_2","IND_2|IND_6",2015,0,"MW"
"IND_2","IND_2|PAK_1",2015,0,"MW"
"IND_2","IND_2|PAK_2",2015,0,"MW"
"IND_2","IND_2|PAK_9",2015,0,"MW"
"IND_3","IND_3|PAK_9",2015,0,"MW"
"IND_4","IND_4|IND_6",2015,0,"MW"
"IND_4","IND_4|PAK_10",2015,0,"MW"
"IND_4","IND_4|PAK_9",2015,0,"MW"
"IND_5","IND_5|IND_6",2015,0,"MW"
"IND_5","IND_5|PAK_13",2015,0,"MW"
"IND_6","IND_6|PAK_11",2015,0,"MW"
"IND_6","IND_6|PAK_13",2015,0,"MW"
"PAK_1","PAK_1|PAK_11",2015,0,"MW"
"PAK_1","PAK_1|PAK_3",2015,0,"MW"
"PAK_1","PAK_1|PAK_8",2015,0,"MW"
"PAK_10","PAK_10|PAK_12",2015,0,"MW"
"PAK_10","PAK_10|PAK_5",2015,0,"MW"
"PAK_11","PAK_11|PAK_13",2015,0,"MW"
"PAK_11","PAK_11|PAK_8",2015,0,"MW"
"PAK_12","PAK_12|PAK_6",2015,0,"MW"
"PAK_13","PAK_13|PAK_8",2015,0,"MW"
"PAK_4","PAK_4|PAK_5",2015,0,"MW"
"PAK_2","PAK_2|PAK",2015,0,"MW"
"PAK_10","PAK_10|PAK",2015,0,"MW"
"PAK_12","PAK_12|PAK",2015,0,"MW"
"PAK_13","PAK_13|CHN",2015,0,"MW"
"CHN_2","CHN_2|CHN",2015,0,"MW"
"CHN_1","CHN_1|CHN",2015,0,"MW"
"CHN_3","CHN_3|CHN",2015,0,"MW"
"AFG_2","AFG_2|AFG",2015,0,"MW"
"AFG_1","AFG_1|AFG",2015,0,"MW"
"PAK_7","PAK_7|AFG",2015,0,"MW"
"PAK_8","PAK_8|AFG",2015,0,"MW"
"IND_1","IND_1|IND_2",2015,1463,"MW"
"IND_2","IND_2|IND_3",2015,4851,"MW"
"IND_3","IND_3|IND_4",2015,7060,"MW"
"IND_4","IND_4|IND",2015,11026,"MW"
"PAK_1","PAK_1|PAK_12",2015,2118,"MW"
"PAK_1","PAK_1|PAK_2",2015,1412,"MW"
"PAK_10","PAK_10|PAK_3",2015,4560,"MW"
"PAK_10","PAK_10|PAK_9",2015,2149,"MW"
"PAK_10","PAK_10|IND",2015,62,"MW"
"PAK_12","PAK_12|PAK_3",2015,2334,"MW"
"PAK_12","PAK_12|PAK_5",2015,2118,"MW"
"PAK_12","PAK_12|PAK_7",2015,31,"MW"
"PAK_12","PAK_12|PAK_8",2015,2118,"MW"
"PAK_2","PAK_2|PAK_3",2015,1412,"MW"
"PAK_2","PAK_2|PAK_9",2015,1844,"MW"
"PAK_3","PAK_3|PAK_9",2015,3040,"MW"
"PAK_4","PAK_4|PAK_6",2015,1412,"MW"
"PAK_4","PAK_4|PAK",2015,1520,"MW"
"PAK_5","PAK_5|PAK_6",2015,3040,"MW"
"PAK_5","PAK_5|PAK",2015,108,"MW"
"PAK_6","PAK_6|PAK",2015,201,"MW"
"PAK_7","PAK_7|PAK_8",2015,706,"MW"
