"name","capacity_m3_per_sec","length_km","in_x","in_y","out_x","out_y","sources","PID_i","PID_o"
"Rasul-Qadirabad",538,44,73.518694,32.68297,73.713494,32.336995,"indus_waters_settlement_plan; google_maps","PAK_1","PAK_2"
"Qadirabad-Bulloki",527,129,73.685795,32.32282,73.913814,31.298158,"indus_waters_settlement_plan; google_maps","PAK_2","PAK_9"
"Balloki-Sulemanki",524,87,73.858956,31.222586,73.924126,30.495284,"indus_waters_settlement_plan; google_maps","PAK_9","PAK_10"
"Trimmu-Sidhnai",312,64,72.146152,31.144998,72.193326,30.569036,"indus_waters_settlement_plan; google_maps","PAK_3","PAK_9"
"Sidhnai-Mailsi",283,94,72.158225,30.571341,72.245904,29.72777,"indus_waters_settlement_plan; google_maps","PAK_9","PAK_10"
"Chashma-Jhelum",615,135,71.383678,32.435819,72.221394,31.968005,"basharat_saeed_2014; google_maps","PAK_12","PAK_1"
"Taunsa-Panjnad",340,72,70.850499,30.513651,71.367725,30.273469,"indus_waters_settlement_plan; google_maps","PAK_12","PAK_3"
"Marala-Ravi",622,97,74.469801,32.669851,74.623932,31.896584,"indus_waters_settlement_plan; google_maps","PAK_2","PAK_9"
"Ravi-Bedian",142,82,74.470141,31.721207,74.175482,30.726494,"indus_waters_settlement_plan; google_maps","PAK_9","PAK_10"
"Chenab-Bambanwala",453,28,74.469801,32.669851,74.29406,32.360894,"WAPDA;google_maps","PAK_2","PAK_9"
