model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2025,291.9014389507655
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2030,320.4650964091988
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2035,462.9767261341186
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2040,600.2790098674279
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2045,659.4420636434389
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2050,713.4512249266337
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2055,875.4599880201629
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2060,1035.2765438853035
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction,MCM/yr,2070,1563.2005689408504
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2025,1422.7884529056823
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2030,1681.1372234395594
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2035,1892.7665796803526
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2040,2099.217907428157
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2045,2330.512260716058
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2050,2556.1185793854183
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2055,2783.3204396296746
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2060,3005.990758118814
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction,MCM/yr,2070,3656.4282846048413
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2025,71.09814267644148
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2030,81.0420494568084
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2035,161.16850551333962
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2040,239.6198302325682
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2045,300.6453999965204
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2050,359.93679587986696
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2055,414.4437733744928
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2060,467.5512751841552
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction,MCM/yr,2070,786.4678509264879
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2030,2.261272445801959e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2035,2.7744469279023305e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2040,3.734807784349278e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2045,4.5243276792089595e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2050,1.972730359439386
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2055,39.47885328135907
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2060,76.56117688428817
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2070,159.51043302488048
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2025,266.77078205195676
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2030,299.9928023927371
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2035,393.38574367362475
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2040,484.8243777932036
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2045,601.6413556182747
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2050,716.2083045222166
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2055,886.8535516197578
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2060,1055.9492887512295
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction,MCM/yr,2070,1360.5252088979084
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2025,189.85850466180094
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2030,234.92884754736394
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2035,265.79521984798447
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2040,294.95471061158327
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2045,329.0891220586743
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2050,360.97354089236217
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2055,578.1382250433131
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2060,793.6531379189774
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction,MCM/yr,2070,1029.0362922150696
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2025,508.19894531269495
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2030,672.4259897627668
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2035,893.3747364016338
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2040,1110.2392454548892
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2045,1347.695139436572
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2050,1580.9266850788506
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2055,1730.2721583667922
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2060,1876.352588654219
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction,MCM/yr,2070,2309.7330765886923
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2025,69.86950289698851
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2030,80.31839637203338
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2035,88.78638807709589
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2040,96.75792810010263
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2045,124.37105001150381
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2050,151.29269880838072
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2055,169.25408236133845
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2060,186.61189202954185
MESSAGEix-Pakistan 1,LTS_nexus_debug,B23|PAKISTAN,Water Extraction,MCM/yr,2070,240.76022854246412
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction,MCM/yr,2045,10.114825596928686
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction,MCM/yr,2050,44.92681009369134
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction,MCM/yr,2055,49.15377694477565
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction,MCM/yr,2060,52.205996984587365
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction,MCM/yr,2070,115.1253585600865
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2025,383.80719729373766
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2030,483.66681236772683
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2035,642.9035577465272
